StudentID,Subject,Term,Grade
S0020,English,Q3,A
S0020,English,Q4,D
S0020,Science,Q1,D
S0020,Science,Q2,A
S0020,Science,Q3,F
S0020,Science,Q4,A
S0020,History,Q1,C
S0020,History,Q2,C
S0020,History,Q3,D
S0020,History,Q4,C
S0021,Math,Q1,C
S0021,Math,Q2,F
S0021,Math,Q3,C
S0021,Math,Q4,A
S0021,English,Q1,A
S0021,English,Q2,A
S0021,English,Q3,A
S0021,English,Q4,C
S0021,Science,Q1,A
S0021,Science,Q2,A
S0021,Science,Q3,C
S0021,Science,Q4,D
S0021,History,Q1,C
S0021,History,Q2,C
S0021,History,Q3,C
S0021,History,Q4,F
S0022,Math,Q1,D
S0022,Math,Q2,D
S0022,Math,Q3,F
S0022,Math,Q4,B
S0022,English,Q1,C
S0022,English,Q2,F
S0022,English,Q3,D
S0022,English,Q4,C
S0022,Science,Q1,B
S0022,Science,Q2,C
S0022,Science,Q3,D
S0022,Science,Q4,A
S0022,History,Q1,C
S0022,History,Q2,F
S0022,History,Q3,F
S0022,History,Q4,F
S0023,Math,Q1,B
S0023,Math,Q2,C
S0023,Math,Q3,D
S0023,Math,Q4,D
S0023,English,Q1,B
S0023,English,Q2,C
S0023,English,Q3,D
S0023,English,Q4,D
S0023,Science,Q1,A
S0023,Science,Q2,A
S0023,Science,Q3,B
S0023,Science,Q4,F
S0023,History,Q1,A
S0023,History,Q2,D
S0023,History,Q3,F
S0023,History,Q4,C
S0024,Math,Q1,A
S0024,Math,Q2,A
S0024,Math,Q3,F
S0024,Math,Q4,A
S0024,English,Q1,B
S0024,English,Q2,A
S0024,English,Q3,D
S0024,English,Q4,C
S0024,Science,Q1,B
S0024,Science,Q2,C
S0024,Science,Q3,A
S0024,Science,Q4,F
S0024,History,Q1,A
S0024,History,Q2,C
S0024,History,Q3,F
S0024,History,Q4,C
S0025,Math,Q1,F
S0025,Math,Q2,A
S0025,Math,Q3,C
S0025,Math,Q4,B
S0025,English,Q1,A
S0025,English,Q2,C
S0025,English,Q3,A
S0025,English,Q4,D
S0025,Science,Q1,A
S0025,Science,Q2,D
S0025,Science,Q3,C
S0025,Science,Q4,A
S0025,History,Q1,D
S0025,History,Q2,C
S0025,History,Q3,D
S0025,History,Q4,D
S0026,Math,Q1,D
S0026,Math,Q2,B
S0026,Math,Q3,A
S0026,Math,Q4,A
S0026,English,Q1,B
S0026,English,Q2,B
S0026,English,Q3,B
S0026,English,Q4,A
S0026,Science,Q1,F
S0026,Science,Q2,D
S0026,Science,Q3,D
S0026,Science,Q4,D
S0026,History,Q1,A
S0026,History,Q2,B
S0026,History,Q3,C
S0026,History,Q4,C
S0027,Math,Q1,D
S0027,Math,Q2,A
S0027,Math,Q3,D
S0027,Math,Q4,F
S0027,English,Q1,C
S0027,English,Q2,C
S0027,English,Q3,C
S0027,English,Q4,D
S0027,Science,Q1,F
S0027,Science,Q2,D
S0027,Science,Q3,C
S0027,Science,Q4,C
S0027,History,Q1,F
S0027,History,Q2,F
S0027,History,Q3,B
S0027,History,Q4,C
S0028,Math,Q1,C
S0028,Math,Q2,A
S0028,Math,Q3,F
S0028,Math,Q4,B
S0028,English,Q1,B
S0028,English,Q2,F
S0028,English,Q3,A
S0028,English,Q4,A
S0028,Science,Q1,B
S0028,Science,Q2,D
S0028,Science,Q3,B
S0028,Science,Q4,C
S0028,History,Q1,C
S0028,History,Q2,D
S0028,History,Q3,F
S0028,History,Q4,B
S0029,Math,Q1,F
S0029,Math,Q2,D
S0029,Math,Q3,C
S0029,Math,Q4,F
S0029,English,Q1,A
S0029,English,Q2,C
S0029,English,Q3,C
S0029,English,Q4,F
S0029,Science,Q1,F
S0029,Science,Q2,C
S0029,Science,Q3,A
S0029,Science,Q4,A
S0029,History,Q1,F
S0029,History,Q2,C
S0029,History,Q3,D
S0029,History,Q4,C
S0030,Math,Q1,F
S0030,Math,Q2,C
S0030,Math,Q3,D
S0030,Math,Q4,B
S0030,English,Q1,F
S0030,English,Q2,B
S0030,English,Q3,C
S0030,English,Q4,F
S0030,Science,Q1,F
S0030,Science,Q2,D
S0030,Science,Q3,F
S0030,Science,Q4,A
S0030,History,Q1,D
S0030,History,Q2,B
S0030,History,Q3,D
S0030,History,Q4,D
S0031,Math,Q1,D
S0031,Math,Q2,D
S0031,Math,Q3,C
S0031,Math,Q4,F
S0031,English,Q1,D
S0031,English,Q2,B
S0031,English,Q3,D
S0031,English,Q4,F
S0031,Science,Q1,A
S0031,Science,Q2,C
S0031,Science,Q3,B
S0031,Science,Q4,C
S0031,History,Q1,B
S0031,History,Q2,C
S0031,History,Q3,A
S0031,History,Q4,F
S0032,Math,Q1,A
S0032,Math,Q2,F
S0032,Math,Q3,D
S0032,Math,Q4,A
S0032,English,Q1,D
S0032,English,Q2,B
S0032,English,Q3,F
S0032,English,Q4,F
S0032,Science,Q1,D
S0032,Science,Q2,C
S0032,Science,Q3,D
S0032,Science,Q4,D
S0032,History,Q1,D
S0032,History,Q2,D
S0032,History,Q3,D
S0032,History,Q4,D
S0033,Math,Q1,A
S0033,Math,Q2,F
S0033,Math,Q3,A
S0033,Math,Q4,F
S0033,English,Q1,A
S0033,English,Q2,F
S0033,English,Q3,B
S0033,English,Q4,C
S0033,Science,Q1,B
S0033,Science,Q2,D
S0033,Science,Q3,C
S0033,Science,Q4,B
S0033,History,Q1,C
S0033,History,Q2,F
S0033,History,Q3,F
S0033,History,Q4,B
S0034,Math,Q1,A
S0034,Math,Q2,D
S0034,Math,Q3,D
S0034,Math,Q4,F
S0034,English,Q1,D
S0034,English,Q2,A
S0034,English,Q3,F
S0034,English,Q4,C
S0034,Science,Q1,D
S0034,Science,Q2,D
S0034,Science,Q3,C
S0034,Science,Q4,F
S0034,History,Q1,A
S0034,History,Q2,A
S0034,History,Q3,C
S0034,History,Q4,D
S0035,Math,Q1,B
S0035,Math,Q2,F
S0035,Math,Q3,D
S0035,Math,Q4,D
S0035,English,Q1,A
S0035,English,Q2,C
S0035,English,Q3,C
S0035,English,Q4,D
S0035,Science,Q1,D
S0035,Science,Q2,D
S0035,Science,Q3,A
S0035,Science,Q4,C
S0035,History,Q1,A
S0035,History,Q2,C
S0035,History,Q3,D
S0035,History,Q4,D
S0036,Math,Q1,A
S0036,Math,Q2,B
S0036,Math,Q3,C
S0036,Math,Q4,A
S0036,English,Q1,A
S0036,English,Q2,C
S0036,English,Q3,C
S0036,English,Q4,C
S0036,Science,Q1,C
S0036,Science,Q2,F
S0036,Science,Q3,C
S0036,Science,Q4,A
S0036,History,Q1,F
S0036,History,Q2,F
S0036,History,Q3,F
S0036,History,Q4,C
S0037,Math,Q1,D
S0037,Math,Q2,C
S0037,Math,Q3,B
S0037,Math,Q4,C
S0037,English,Q1,D
S0037,English,Q2,B
S0037,English,Q3,D
S0037,English,Q4,C
S0037,Science,Q1,C
S0037,Science,Q2,F
S0037,Science,Q3,C
S0037,Science,Q4,C
S0037,History,Q1,C
S0037,History,Q2,C
S0037,History,Q3,D
S0037,History,Q4,D
S0038,Math,Q1,D
S0038,Math,Q2,B
S0038,Math,Q3,B
S0038,Math,Q4,C
S0038,English,Q1,C
S0038,English,Q2,B
S0038,English,Q3,A
S0038,English,Q4,C
S0038,Science,Q1,A
S0038,Science,Q2,F
S0038,Science,Q3,C
S0038,Science,Q4,B
S0038,History,Q1,A
S0038,History,Q2,D
S0038,History,Q3,B
S0038,History,Q4,D
S0039,Math,Q1,D
S0039,Math,Q2,B
S0039,Math,Q3,F
S0039,Math,Q4,B
S0039,English,Q1,D
S0039,English,Q2,D
S0039,English,Q3,F
S0039,English,Q4,C
S0039,Science,Q1,F
S0039,Science,Q2,F
S0039,Science,Q3,D
S0039,Science,Q4,A
S0039,History,Q1,F
S0039,History,Q2,F
S0039,History,Q3,C
S0039,History,Q4,B
S0040,Math,Q1,D
S0040,Math,Q2,D
S0040,Math,Q3,A
S0040,Math,Q4,B
S0040,English,Q1,D
S0040,English,Q2,D
S0040,English,Q3,F
S0040,English,Q4,F
S0040,Science,Q1,A
S0040,Science,Q2,B
S0040,Science,Q3,D
S0040,Science,Q4,D
S0040,History,Q1,C
S0040,History,Q2,C
S0040,History,Q3,F
S0040,History,Q4,B
S0041,Math,Q1,F
S0041,Math,Q2,C
S0041,Math,Q3,B
S0041,Math,Q4,C
S0041,English,Q1,A
S0041,English,Q2,A
S0041,English,Q3,D
S0041,English,Q4,F
S0041,Science,Q1,D
S0041,Science,Q2,A
S0041,Science,Q3,D
S0041,Science,Q4,C
S0041,History,Q1,B
S0041,History,Q2,D
S0041,History,Q3,D
S0041,History,Q4,D
S0042,Math,Q1,F
S0042,Math,Q2,C
S0042,Math,Q3,B
S0042,Math,Q4,C
S0042,English,Q1,D
S0042,English,Q2,A
S0042,English,Q3,D
S0042,English,Q4,C
S0042,Science,Q1,F
S0042,Science,Q2,A
S0042,Science,Q3,F
S0042,Science,Q4,A
S0042,History,Q1,D
S0042,History,Q2,B
S0042,History,Q3,D
S0042,History,Q4,F
S0043,Math,Q1,C
S0043,Math,Q2,A
S0043,Math,Q3,D
S0043,Math,Q4,B
S0043,English,Q1,C
S0043,English,Q2,F
S0043,English,Q3,B
S0043,English,Q4,C
S0043,Science,Q1,A
S0043,Science,Q2,A
S0043,Science,Q3,D
S0043,Science,Q4,F
S0043,History,Q1,A
S0043,History,Q2,C
S0043,History,Q3,D
S0043,History,Q4,F
S0044,Math,Q1,D
S0044,Math,Q2,F
S0044,Math,Q3,A
S0044,Math,Q4,D
S0044,English,Q1,F
S0044,English,Q2,F
S0044,English,Q3,B
S0044,English,Q4,B
S0044,Science,Q1,A
S0044,Science,Q2,D
S0044,Science,Q3,A
S0044,Science,Q4,A
S0044,History,Q1,F
S0044,History,Q2,A
S0044,History,Q3,B
S0044,History,Q4,B
S0045,Math,Q1,C
S0045,Math,Q2,F
S0045,Math,Q3,A
S0045,Math,Q4,B
S0045,English,Q1,B
S0045,English,Q2,D
S0045,English,Q3,C
S0045,English,Q4,B
S0045,Science,Q1,B
S0045,Science,Q2,D
S0045,Science,Q3,F
S0045,Science,Q4,B
S0045,History,Q1,C
S0045,History,Q2,F
S0045,History,Q3,C
S0045,History,Q4,A
S0046,Math,Q1,F
S0046,Math,Q2,A
S0046,Math,Q3,A
S0046,Math,Q4,D
S0046,English,Q1,F
S0046,English,Q2,C
S0046,English,Q3,F
S0046,English,Q4,F
S0046,Science,Q1,A
S0046,Science,Q2,A
S0046,Science,Q3,B
S0046,Science,Q4,F
S0046,History,Q1,C
S0046,History,Q2,D
S0046,History,Q3,C
S0046,History,Q4,A
S0047,Math,Q1,B
S0047,Math,Q2,A
S0047,Math,Q3,A
S0047,Math,Q4,F
S0047,English,Q1,B
S0047,English,Q2,F
S0047,English,Q3,D
S0047,English,Q4,F
S0047,Science,Q1,A
S0047,Science,Q2,C
S0047,Science,Q3,D
S0047,Science,Q4,C
S0047,History,Q1,F
S0047,History,Q2,C
S0047,History,Q3,A
S0047,History,Q4,A
S0048,Math,Q1,B
S0048,Math,Q2,A
S0048,Math,Q3,B
S0048,Math,Q4,B
S0048,English,Q1,F
S0048,English,Q2,A
S0048,English,Q3,C
S0048,English,Q4,F
S0048,Science,Q1,D
S0048,Science,Q2,D
S0048,Science,Q3,D
S0048,Science,Q4,F
S0048,History,Q1,C
S0048,History,Q2,B
S0048,History,Q3,B
S0048,History,Q4,F
S0049,Math,Q1,C
S0049,Math,Q2,B
S0049,Math,Q3,F
S0049,Math,Q4,B
S0049,English,Q1,D
S0049,English,Q2,C
S0049,English,Q3,C
S0049,English,Q4,B
S0049,Science,Q1,F
S0049,Science,Q2,F
S0049,Science,Q3,C
S0049,Science,Q4,D
S0049,History,Q1,B
S0049,History,Q2,D
S0049,History,Q3,D
S0049,History,Q4,B
S0050,Math,Q1,C
S0050,Math,Q2,F
S0050,Math,Q3,C
S0050,Math,Q4,A
S0050,English,Q1,B
S0050,English,Q2,A
S0050,English,Q3,B
S0050,English,Q4,D
S0050,Science,Q1,D
S0050,Science,Q2,B
S0050,Science,Q3,A
S0050,Science,Q4,D
S0050,History,Q1,F
S0050,History,Q2,B
S0050,History,Q3,A
S0050,History,Q4,D
S0051,Math,Q1,B
S0051,Math,Q2,C
S0051,Math,Q3,A
S0051,Math,Q4,C
S0051,English,Q1,C
S0051,English,Q2,B
S0051,English,Q3,B
S0051,English,Q4,D
S0051,Science,Q1,D
S0051,Science,Q2,F
S0051,Science,Q3,F
S0051,Science,Q4,B
S0051,History,Q1,C
S0051,History,Q2,C
S0051,History,Q3,F
S0051,History,Q4,B
S0052,Math,Q1,D
S0052,Math,Q2,B
S0052,Math,Q3,D
S0052,Math,Q4,F
S0052,English,Q1,D
S0052,English,Q2,D
S0052,English,Q3,F
S0052,English,Q4,B
S0052,Science,Q1,F
S0052,Science,Q2,F
S0052,Science,Q3,F
S0052,Science,Q4,C
S0052,History,Q1,F
S0052,History,Q2,A
S0052,History,Q3,B
S0052,History,Q4,F
S0053,Math,Q1,D
S0053,Math,Q2,D
S0053,Math,Q3,B
S0053,Math,Q4,F
S0053,English,Q1,D
S0053,English,Q2,D
S0053,English,Q3,C
S0053,English,Q4,D
S0053,Science,Q1,F
S0053,Science,Q2,D
S0053,Science,Q3,F
S0053,Science,Q4,A
S0053,History,Q1,A
S0053,History,Q2,C
S0053,History,Q3,A
S0053,History,Q4,D
S0054,Math,Q1,D
S0054,Math,Q2,B
S0054,Math,Q3,F
S0054,Math,Q4,D
S0054,English,Q1,F
S0054,English,Q2,D
S0054,English,Q3,C
S0054,English,Q4,B
S0054,Science,Q1,C
S0054,Science,Q2,A
S0054,Science,Q3,C
S0054,Science,Q4,D
S0054,History,Q1,B
S0054,History,Q2,A
S0054,History,Q3,F
S0054,History,Q4,A
S0055,Math,Q1,B
S0055,Math,Q2,A
S0055,Math,Q3,C
S0055,Math,Q4,A
S0055,English,Q1,C
S0055,English,Q2,A
S0055,English,Q3,A
S0055,English,Q4,D
S0055,Science,Q1,A
S0055,Science,Q2,F
S0055,Science,Q3,A
S0055,Science,Q4,B
S0055,History,Q1,F
S0055,History,Q2,C
S0055,History,Q3,B
S0055,History,Q4,B
S0056,Math,Q1,D
S0056,Math,Q2,A
S0056,Math,Q3,B
S0056,Math,Q4,D
S0056,English,Q1,C
S0056,English,Q2,D
S0056,English,Q3,F
S0056,English,Q4,A
S0056,Science,Q1,C
S0056,Science,Q2,F
S0056,Science,Q3,D
S0056,Science,Q4,B
S0056,History,Q1,C
S0056,History,Q2,C
S0056,History,Q3,A
S0056,History,Q4,A
S0057,Math,Q1,F
S0057,Math,Q2,B
S0057,Math,Q3,C
S0057,Math,Q4,B
S0057,English,Q1,A
S0057,English,Q2,A
S0057,English,Q3,A
S0057,English,Q4,A
S0057,Science,Q1,C
S0057,Science,Q2,F
S0057,Science,Q3,C
S0057,Science,Q4,C
S0057,History,Q1,D
S0057,History,Q2,D
S0057,History,Q3,B
S0057,History,Q4,A
S0058,Math,Q1,B
S0058,Math,Q2,D
S0058,Math,Q3,A
S0058,Math,Q4,A
S0058,English,Q1,A
S0058,English,Q2,D
S0058,English,Q3,C
S0058,English,Q4,F
S0058,Science,Q1,B
S0058,Science,Q2,A
S0058,Science,Q3,D
S0058,Science,Q4,C
S0058,History,Q1,D
S0058,History,Q2,A
S0058,History,Q3,D
S0058,History,Q4,B
S0059,Math,Q1,A
S0059,Math,Q2,B
S0059,Math,Q3,A
S0059,Math,Q4,D
S0059,English,Q1,B
S0059,English,Q2,D
S0059,English,Q3,B
S0059,English,Q4,B
S0059,Science,Q1,F
S0059,Science,Q2,D
S0059,Science,Q3,A
S0059,Science,Q4,A
S0059,History,Q1,A
S0059,History,Q2,A
S0059,History,Q3,C
S0059,History,Q4,F
S0060,Math,Q1,B
S0060,Math,Q2,D
S0060,Math,Q3,B
S0060,Math,Q4,A
S0060,English,Q1,F
S0060,English,Q2,F
S0060,English,Q3,B
S0060,English,Q4,B
S0060,Science,Q1,C
S0060,Science,Q2,A
S0060,Science,Q3,A
S0060,Science,Q4,D
S0060,History,Q1,A
S0060,History,Q2,B
S0060,History,Q3,F
S0060,History,Q4,D
S0061,Math,Q1,C
S0061,Math,Q2,C
S0061,Math,Q3,F
S0061,Math,Q4,D
S0061,English,Q1,D
S0061,English,Q2,A
S0061,English,Q3,B
S0061,English,Q4,C
S0061,Science,Q1,A
S0061,Science,Q2,C
S0061,Science,Q3,B
S0061,Science,Q4,C
S0061,History,Q1,F
S0061,History,Q2,A
S0061,History,Q3,C
S0061,History,Q4,D
S0062,Math,Q1,A
S0062,Math,Q2,A
S0062,Math,Q3,F
S0062,Math,Q4,A
S0062,English,Q1,A
S0062,English,Q2,C
S0062,English,Q3,C
S0062,English,Q4,A
S0062,Science,Q1,A
S0062,Science,Q2,C
S0062,Science,Q3,B
S0062,Science,Q4,A
S0062,History,Q1,A
S0062,History,Q2,F
S0062,History,Q3,C
S0062,History,Q4,F
S0063,Math,Q1,D
S0063,Math,Q2,A
S0063,Math,Q3,B
S0063,Math,Q4,D
S0063,English,Q1,D
S0063,English,Q2,F
S0063,English,Q3,B
S0063,English,Q4,C
S0063,Science,Q1,D
S0063,Science,Q2,D
S0063,Science,Q3,F
S0063,Science,Q4,D
S0063,History,Q1,D
S0063,History,Q2,A
S0063,History,Q3,C
S0063,History,Q4,C
S0064,Math,Q1,F
S0064,Math,Q2,C
S0064,Math,Q3,D
S0064,Math,Q4,B
S0064,English,Q1,C
S0064,English,Q2,D
S0064,English,Q3,C
S0064,English,Q4,A
S0064,Science,Q1,C
S0064,Science,Q2,B
S0064,Science,Q3,B
S0064,Science,Q4,C
S0064,History,Q1,D
S0064,History,Q2,C
S0064,History,Q3,A
S0064,History,Q4,D
S0065,Math,Q1,F
S0065,Math,Q2,C
S0065,Math,Q3,F
S0065,Math,Q4,D
S0065,English,Q1,A
S0065,English,Q2,D
S0065,English,Q3,C
S0065,English,Q4,C
S0065,Science,Q1,A
S0065,Science,Q2,F
S0065,Science,Q3,B
S0065,Science,Q4,D
S0065,History,Q1,D
S0065,History,Q2,A
S0065,History,Q3,A
S0065,History,Q4,C
S0066,Math,Q1,F
S0066,Math,Q2,F
S0066,Math,Q3,A
S0066,Math,Q4,D
S0066,English,Q1,A
S0066,English,Q2,C
S0066,English,Q3,F
S0066,English,Q4,A
S0066,Science,Q1,A
S0066,Science,Q2,F
S0066,Science,Q3,D
S0066,Science,Q4,C
S0066,History,Q1,C
S0066,History,Q2,D
S0066,History,Q3,A
S0066,History,Q4,F
S0067,Math,Q1,B
S0067,Math,Q2,D
S0067,Math,Q3,D
S0067,Math,Q4,F
S0067,English,Q1,D
S0067,English,Q2,C
S0067,English,Q3,A
S0067,English,Q4,C
S0067,Science,Q1,C
S0067,Science,Q2,C
S0067,Science,Q3,A
S0067,Science,Q4,C
S0067,History,Q1,C
S0067,History,Q2,B
S0067,History,Q3,F
S0067,History,Q4,C
S0068,Math,Q1,B
S0068,Math,Q2,D
S0068,Math,Q3,D
S0068,Math,Q4,A
S0068,English,Q1,F
S0068,English,Q2,F
S0068,English,Q3,A
S0068,English,Q4,C
S0068,Science,Q1,A
S0068,Science,Q2,A
S0068,Science,Q3,C
S0068,Science,Q4,A
S0068,History,Q1,B
S0068,History,Q2,D
S0068,History,Q3,F
S0068,History,Q4,D
S0069,Math,Q1,B
S0069,Math,Q2,D
S0069,Math,Q3,F
S0069,Math,Q4,C
S0069,English,Q1,F
S0069,English,Q2,D
S0069,English,Q3,A
S0069,English,Q4,C
S0069,Science,Q1,B
S0069,Science,Q2,C
S0069,Science,Q3,A
S0069,Science,Q4,D
S0069,History,Q1,F
S0069,History,Q2,F
S0069,History,Q3,A
S0069,History,Q4,C
S0070,Math,Q1,B
S0070,Math,Q2,A
S0070,Math,Q3,D
S0070,Math,Q4,D
S0070,English,Q1,F
S0070,English,Q2,A
S0070,English,Q3,D
S0070,English,Q4,A
S0070,Science,Q1,A
S0070,Science,Q2,D
S0070,Science,Q3,F
S0070,Science,Q4,A
S0070,History,Q1,C
