StudentID,Date,Status
S0002,1/20/2023,Late
S0002,1/21/2023,Absent
S0002,1/22/2023,Absent
S0002,1/23/2023,Absent
S0002,1/24/2023,Absent
S0002,1/25/2023,Late
S0002,1/26/2023,Present
S0002,1/27/2023,Present
S0002,1/28/2023,Absent
S0002,1/29/2023,Late
S0002,1/30/2023,Absent
S0002,1/31/2023,Absent
S0002,2/1/2023,Late
S0002,2/2/2023,Absent
S0002,2/3/2023,Present
S0002,2/4/2023,Late
S0002,2/5/2023,Absent
S0002,2/6/2023,Present
S0002,2/7/2023,Late
S0002,2/8/2023,Absent
S0002,2/9/2023,Absent
S0002,2/10/2023,Present
S0002,2/11/2023,Late
S0002,2/12/2023,Absent
S0002,2/13/2023,Present
S0002,2/14/2023,Present
S0002,2/15/2023,Absent
S0002,2/16/2023,Absent
S0002,2/17/2023,Late
S0002,2/18/2023,Present
S0002,2/19/2023,Present
S0003,1/1/2023,Late
S0003,1/2/2023,Absent
S0003,1/3/2023,Late
S0003,1/4/2023,Late
S0003,1/5/2023,Late
S0003,1/6/2023,Late
S0003,1/7/2023,Late
S0003,1/8/2023,Present
S0003,1/9/2023,Absent
S0003,1/10/2023,Present
S0003,1/11/2023,Late
S0003,1/12/2023,Present
S0003,1/13/2023,Absent
S0003,1/14/2023,Absent
S0003,1/15/2023,Late
S0003,1/16/2023,Absent
S0003,1/17/2023,Absent
S0003,1/18/2023,Late
S0003,1/19/2023,Present
S0003,1/20/2023,Present
S0003,1/21/2023,Late
S0003,1/22/2023,Present
S0003,1/23/2023,Late
S0003,1/24/2023,Late
S0003,1/25/2023,Late
S0003,1/26/2023,Present
S0003,1/27/2023,Present
S0003,1/28/2023,Absent
S0003,1/29/2023,Late
S0003,1/30/2023,Late
S0003,1/31/2023,Late
S0003,2/1/2023,Present
S0003,2/2/2023,Absent
S0003,2/3/2023,Present
S0003,2/4/2023,Late
S0003,2/5/2023,Late
S0003,2/6/2023,Present
S0003,2/7/2023,Absent
S0003,2/8/2023,Present
S0003,2/9/2023,Late
S0003,2/10/2023,Late
S0003,2/11/2023,Late
S0003,2/12/2023,Present
S0003,2/13/2023,Present
S0003,2/14/2023,Absent
S0003,2/15/2023,Present
S0003,2/16/2023,Late
S0003,2/17/2023,Present
S0003,2/18/2023,Absent
S0003,2/19/2023,Absent
S0004,1/1/2023,Absent
S0004,1/2/2023,Absent
S0004,1/3/2023,Absent
S0004,1/4/2023,Late
S0004,1/5/2023,Late
S0004,1/6/2023,Late
S0004,1/7/2023,Absent
S0004,1/8/2023,Present
S0004,1/9/2023,Present
S0004,1/10/2023,Present
S0004,1/11/2023,Present
S0004,1/12/2023,Present
S0004,1/13/2023,Present
S0004,1/14/2023,Late
S0004,1/15/2023,Late
S0004,1/16/2023,Absent
S0004,1/17/2023,Late
S0004,1/18/2023,Late
S0004,1/19/2023,Late
S0004,1/20/2023,Present
S0004,1/21/2023,Late
S0004,1/22/2023,Present
S0004,1/23/2023,Present
S0004,1/24/2023,Late
S0004,1/25/2023,Present
S0004,1/26/2023,Absent
S0004,1/27/2023,Present
S0004,1/28/2023,Late
S0004,1/29/2023,Absent
S0004,1/30/2023,Present
S0004,1/31/2023,Late
S0004,2/1/2023,Late
S0004,2/2/2023,Absent
S0004,2/3/2023,Late
S0004,2/4/2023,Late
S0004,2/5/2023,Absent
S0004,2/6/2023,Present
S0004,2/7/2023,Absent
S0004,2/8/2023,Absent
S0004,2/9/2023,Absent
S0004,2/10/2023,Present
S0004,2/11/2023,Present
S0004,2/12/2023,Present
S0004,2/13/2023,Present
S0004,2/14/2023,Present
S0004,2/15/2023,Absent
S0004,2/16/2023,Present
S0004,2/17/2023,Absent
S0004,2/18/2023,Absent
S0004,2/19/2023,Present
S0005,1/1/2023,Late
S0005,1/2/2023,Late
S0005,1/3/2023,Present
S0005,1/4/2023,Present
S0005,1/5/2023,Present
S0005,1/6/2023,Present
S0005,1/7/2023,Absent
S0005,1/8/2023,Late
S0005,1/9/2023,Absent
S0005,1/10/2023,Late
S0005,1/11/2023,Absent
S0005,1/12/2023,Absent
S0005,1/13/2023,Present
S0005,1/14/2023,Absent
S0005,1/15/2023,Absent
S0005,1/16/2023,Present
S0005,1/17/2023,Late
S0005,1/18/2023,Late
S0005,1/19/2023,Absent
S0005,1/20/2023,Late
S0005,1/21/2023,Absent
S0005,1/22/2023,Absent
S0005,1/23/2023,Late
S0005,1/24/2023,Late
S0005,1/25/2023,Late
S0005,1/26/2023,Late
S0005,1/27/2023,Late
S0005,1/28/2023,Late
S0005,1/29/2023,Late
S0005,1/30/2023,Late
S0005,1/31/2023,Present
S0005,2/1/2023,Late
S0005,2/2/2023,Present
S0005,2/3/2023,Absent
S0005,2/4/2023,Absent
S0005,2/5/2023,Present
S0005,2/6/2023,Present
S0005,2/7/2023,Late
S0005,2/8/2023,Late
S0005,2/9/2023,Absent
S0005,2/10/2023,Late
S0005,2/11/2023,Present
S0005,2/12/2023,Late
S0005,2/13/2023,Absent
S0005,2/14/2023,Late
S0005,2/15/2023,Late
S0005,2/16/2023,Present
S0005,2/17/2023,Present
S0005,2/18/2023,Absent
S0005,2/19/2023,Absent
S0006,1/1/2023,Absent
S0006,1/2/2023,Absent
S0006,1/3/2023,Absent
S0006,1/4/2023,Absent
S0006,1/5/2023,Present
S0006,1/6/2023,Absent
S0006,1/7/2023,Absent
S0006,1/8/2023,Late
S0006,1/9/2023,Present
S0006,1/10/2023,Late
S0006,1/11/2023,Late
S0006,1/12/2023,Present
S0006,1/13/2023,Absent
S0006,1/14/2023,Late
S0006,1/15/2023,Absent
S0006,1/16/2023,Present
S0006,1/17/2023,Late
S0006,1/18/2023,Late
S0006,1/19/2023,Present
S0006,1/20/2023,Present
S0006,1/21/2023,Late
S0006,1/22/2023,Late
S0006,1/23/2023,Late
S0006,1/24/2023,Present
S0006,1/25/2023,Absent
S0006,1/26/2023,Absent
S0006,1/27/2023,Absent
S0006,1/28/2023,Absent
S0006,1/29/2023,Present
S0006,1/30/2023,Present
S0006,1/31/2023,Absent
S0006,2/1/2023,Late
S0006,2/2/2023,Late
S0006,2/3/2023,Present
S0006,2/4/2023,Absent
S0006,2/5/2023,Present
S0006,2/6/2023,Absent
S0006,2/7/2023,Absent
S0006,2/8/2023,Late
S0006,2/9/2023,Late
S0006,2/10/2023,Late
S0006,2/11/2023,Present
S0006,2/12/2023,Late
S0006,2/13/2023,Late
S0006,2/14/2023,Present
S0006,2/15/2023,Present
S0006,2/16/2023,Present
S0006,2/17/2023,Late
S0006,2/18/2023,Absent
S0006,2/19/2023,Late
S0007,1/1/2023,Absent
S0007,1/2/2023,Present
S0007,1/3/2023,Late
S0007,1/4/2023,Late
S0007,1/5/2023,Absent
S0007,1/6/2023,Late
S0007,1/7/2023,Late
S0007,1/8/2023,Late
S0007,1/9/2023,Present
S0007,1/10/2023,Absent
S0007,1/11/2023,Late
S0007,1/12/2023,Absent
S0007,1/13/2023,Present
S0007,1/14/2023,Present
S0007,1/15/2023,Absent
S0007,1/16/2023,Late
S0007,1/17/2023,Late
S0007,1/18/2023,Present
S0007,1/19/2023,Present
S0007,1/20/2023,Present
S0007,1/21/2023,Present
S0007,1/22/2023,Late
S0007,1/23/2023,Present
S0007,1/24/2023,Absent
S0007,1/25/2023,Absent
S0007,1/26/2023,Absent
S0007,1/27/2023,Late
S0007,1/28/2023,Absent
S0007,1/29/2023,Absent
S0007,1/30/2023,Late
S0007,1/31/2023,Present
S0007,2/1/2023,Present
S0007,2/2/2023,Present
S0007,2/3/2023,Present
S0007,2/4/2023,Present
S0007,2/5/2023,Late
S0007,2/6/2023,Absent
S0007,2/7/2023,Present
S0007,2/8/2023,Absent
S0007,2/9/2023,Absent
S0007,2/10/2023,Absent
S0007,2/11/2023,Late
S0007,2/12/2023,Present
S0007,2/13/2023,Late
S0007,2/14/2023,Absent
S0007,2/15/2023,Present
S0007,2/16/2023,Present
S0007,2/17/2023,Late
S0007,2/18/2023,Late
S0007,2/19/2023,Absent
S0008,1/1/2023,Absent
S0008,1/2/2023,Absent
S0008,1/3/2023,Absent
S0008,1/4/2023,Present
S0008,1/5/2023,Late
S0008,1/6/2023,Late
S0008,1/7/2023,Present
S0008,1/8/2023,Present
S0008,1/9/2023,Late
S0008,1/10/2023,Absent
S0008,1/11/2023,Late
S0008,1/12/2023,Late
S0008,1/13/2023,Late
S0008,1/14/2023,Present
S0008,1/15/2023,Present
S0008,1/16/2023,Present
S0008,1/17/2023,Present
S0008,1/18/2023,Present
S0008,1/19/2023,Late
S0008,1/20/2023,Absent
S0008,1/21/2023,Present
S0008,1/22/2023,Present
S0008,1/23/2023,Present
S0008,1/24/2023,Late
S0008,1/25/2023,Late
S0008,1/26/2023,Late
S0008,1/27/2023,Absent
S0008,1/28/2023,Absent
S0008,1/29/2023,Present
S0008,1/30/2023,Present
S0008,1/31/2023,Present
S0008,2/1/2023,Absent
S0008,2/2/2023,Present
S0008,2/3/2023,Present
S0008,2/4/2023,Late
S0008,2/5/2023,Absent
S0008,2/6/2023,Late
S0008,2/7/2023,Late
S0008,2/8/2023,Late
S0008,2/9/2023,Late
S0008,2/10/2023,Late
S0008,2/11/2023,Late
S0008,2/12/2023,Late
S0008,2/13/2023,Present
S0008,2/14/2023,Absent
S0008,2/15/2023,Late
S0008,2/16/2023,Late
S0008,2/17/2023,Absent
S0008,2/18/2023,Present
S0008,2/19/2023,Present
S0009,1/1/2023,Absent
S0009,1/2/2023,Absent
S0009,1/3/2023,Absent
S0009,1/4/2023,Absent
S0009,1/5/2023,Present
S0009,1/6/2023,Absent
S0009,1/7/2023,Late
S0009,1/8/2023,Present
S0009,1/9/2023,Absent
S0009,1/10/2023,Absent
S0009,1/11/2023,Present
S0009,1/12/2023,Present
S0009,1/13/2023,Late
S0009,1/14/2023,Absent
S0009,1/15/2023,Absent
S0009,1/16/2023,Late
S0009,1/17/2023,Absent
S0009,1/18/2023,Late
S0009,1/19/2023,Present
S0009,1/20/2023,Late
S0009,1/21/2023,Present
S0009,1/22/2023,Late
S0009,1/23/2023,Present
S0009,1/24/2023,Present
S0009,1/25/2023,Late
S0009,1/26/2023,Late
S0009,1/27/2023,Late
S0009,1/28/2023,Late
S0009,1/29/2023,Present
S0009,1/30/2023,Absent
S0009,1/31/2023,Late
S0009,2/1/2023,Late
S0009,2/2/2023,Late
S0009,2/3/2023,Late
S0009,2/4/2023,Absent
S0009,2/5/2023,Absent
S0009,2/6/2023,Late
S0009,2/7/2023,Absent
S0009,2/8/2023,Absent
S0009,2/9/2023,Late
S0009,2/10/2023,Late
S0009,2/11/2023,Late
S0009,2/12/2023,Absent
S0009,2/13/2023,Present
S0009,2/14/2023,Late
S0009,2/15/2023,Late
S0009,2/16/2023,Absent
S0009,2/17/2023,Late
S0009,2/18/2023,Late
S0009,2/19/2023,Late
S0010,1/1/2023,Absent
S0010,1/2/2023,Absent
S0010,1/3/2023,Present
S0010,1/4/2023,Late
S0010,1/5/2023,Present
S0010,1/6/2023,Late
S0010,1/7/2023,Absent
S0010,1/8/2023,Present
S0010,1/9/2023,Present
S0010,1/10/2023,Present
S0010,1/11/2023,Present
S0010,1/12/2023,Absent
S0010,1/13/2023,Late
S0010,1/14/2023,Present
S0010,1/15/2023,Late
S0010,1/16/2023,Present
S0010,1/17/2023,Late
S0010,1/18/2023,Absent
S0010,1/19/2023,Absent
S0010,1/20/2023,Present
S0010,1/21/2023,Absent
S0010,1/22/2023,Absent
S0010,1/23/2023,Late
S0010,1/24/2023,Late
S0010,1/25/2023,Present
S0010,1/26/2023,Present
S0010,1/27/2023,Late
S0010,1/28/2023,Present
S0010,1/29/2023,Late
S0010,1/30/2023,Absent
S0010,1/31/2023,Absent
S0010,2/1/2023,Present
S0010,2/2/2023,Absent
S0010,2/3/2023,Absent
S0010,2/4/2023,Late
S0010,2/5/2023,Late
S0010,2/6/2023,Absent
S0010,2/7/2023,Present
S0010,2/8/2023,Present
S0010,2/9/2023,Late
S0010,2/10/2023,Absent
S0010,2/11/2023,Absent
S0010,2/12/2023,Absent
S0010,2/13/2023,Late
S0010,2/14/2023,Late
S0010,2/15/2023,Late
S0010,2/16/2023,Present
S0010,2/17/2023,Present
S0010,2/18/2023,Present
S0010,2/19/2023,Absent
S0011,1/1/2023,Absent
S0011,1/2/2023,Late
S0011,1/3/2023,Absent
S0011,1/4/2023,Absent
S0011,1/5/2023,Present
S0011,1/6/2023,Late
S0011,1/7/2023,Present
S0011,1/8/2023,Absent
S0011,1/9/2023,Present
S0011,1/10/2023,Late
S0011,1/11/2023,Absent
S0011,1/12/2023,Late
S0011,1/13/2023,Absent
S0011,1/14/2023,Absent
S0011,1/15/2023,Absent
S0011,1/16/2023,Late
S0011,1/17/2023,Present
S0011,1/18/2023,Late
S0011,1/19/2023,Absent
S0011,1/20/2023,Late
S0011,1/21/2023,Late
S0011,1/22/2023,Late
S0011,1/23/2023,Absent
S0011,1/24/2023,Late
S0011,1/25/2023,Late
S0011,1/26/2023,Present
S0011,1/27/2023,Present
S0011,1/28/2023,Late
S0011,1/29/2023,Late
S0011,1/30/2023,Absent
S0011,1/31/2023,Absent
S0011,2/1/2023,Present
S0011,2/2/2023,Present
S0011,2/3/2023,Absent
S0011,2/4/2023,Present
S0011,2/5/2023,Absent
S0011,2/6/2023,Absent
S0011,2/7/2023,Late
S0011,2/8/2023,Late
S0011,2/9/2023,Present
S0011,2/10/2023,Late
S0011,2/11/2023,Late
S0011,2/12/2023,Absent
S0011,2/13/2023,Present
S0011,2/14/2023,Late
S0011,2/15/2023,Present
S0011,2/16/2023,Absent
S0011,2/17/2023,Late
S0011,2/18/2023,Absent
S0011,2/19/2023,Late
S0012,1/1/2023,Present
S0012,1/2/2023,Absent
S0012,1/3/2023,Absent
S0012,1/4/2023,Present
S0012,1/5/2023,Absent
S0012,1/6/2023,Present
S0012,1/7/2023,Absent
S0012,1/8/2023,Absent
S0012,1/9/2023,Absent
S0012,1/10/2023,Present
S0012,1/11/2023,Late
S0012,1/12/2023,Absent
S0012,1/13/2023,Present
S0012,1/14/2023,Present
S0012,1/15/2023,Absent
S0012,1/16/2023,Present
S0012,1/17/2023,Present
S0012,1/18/2023,Present
S0012,1/19/2023,Absent
S0012,1/20/2023,Late
S0012,1/21/2023,Present
S0012,1/22/2023,Absent
S0012,1/23/2023,Late
S0012,1/24/2023,Present
S0012,1/25/2023,Present
S0012,1/26/2023,Absent
S0012,1/27/2023,Absent
S0012,1/28/2023,Late
S0012,1/29/2023,Late
S0012,1/30/2023,Absent
S0012,1/31/2023,Absent
S0012,2/1/2023,Present
S0012,2/2/2023,Present
S0012,2/3/2023,Late
S0012,2/4/2023,Late
S0012,2/5/2023,Present
S0012,2/6/2023,Present
S0012,2/7/2023,Late
S0012,2/8/2023,Present
S0012,2/9/2023,Absent
S0012,2/10/2023,Absent
S0012,2/11/2023,Late
S0012,2/12/2023,Late
S0012,2/13/2023,Present
S0012,2/14/2023,Present
S0012,2/15/2023,Absent
S0012,2/16/2023,Present
S0012,2/17/2023,Late
S0012,2/18/2023,Late
S0012,2/19/2023,Present
S0013,1/1/2023,Absent
S0013,1/2/2023,Absent
S0013,1/3/2023,Present
S0013,1/4/2023,Present
S0013,1/5/2023,Late
S0013,1/6/2023,Late
S0013,1/7/2023,Late
S0013,1/8/2023,Absent
S0013,1/9/2023,Present
S0013,1/10/2023,Late
S0013,1/11/2023,Absent
S0013,1/12/2023,Late
S0013,1/13/2023,Present
S0013,1/14/2023,Absent
S0013,1/15/2023,Present
S0013,1/16/2023,Present
S0013,1/17/2023,Absent
S0013,1/18/2023,Absent
S0013,1/19/2023,Late
S0013,1/20/2023,Absent
S0013,1/21/2023,Absent
S0013,1/22/2023,Late
S0013,1/23/2023,Present
S0013,1/24/2023,Absent
S0013,1/25/2023,Present
S0013,1/26/2023,Present
S0013,1/27/2023,Absent
S0013,1/28/2023,Present
S0013,1/29/2023,Present
S0013,1/30/2023,Late
S0013,1/31/2023,Late
S0013,2/1/2023,Late
S0013,2/2/2023,Present
S0013,2/3/2023,Present
S0013,2/4/2023,Late
S0013,2/5/2023,Absent
S0013,2/6/2023,Late
S0013,2/7/2023,Absent
S0013,2/8/2023,Absent
S0013,2/9/2023,Present
S0013,2/10/2023,Late
S0013,2/11/2023,Absent
S0013,2/12/2023,Late
S0013,2/13/2023,Present
S0013,2/14/2023,Present
S0013,2/15/2023,Present
S0013,2/16/2023,Absent
S0013,2/17/2023,Late
S0013,2/18/2023,Absent
S0013,2/19/2023,Late
S0014,1/1/2023,Absent
S0014,1/2/2023,Present
S0014,1/3/2023,Present
S0014,1/4/2023,Present
S0014,1/5/2023,Absent
S0014,1/6/2023,Late
S0014,1/7/2023,Present
S0014,1/8/2023,Present
S0014,1/9/2023,Absent
S0014,1/10/2023,Present
S0014,1/11/2023,Present
S0014,1/12/2023,Absent
S0014,1/13/2023,Absent
S0014,1/14/2023,Present
S0014,1/15/2023,Late
S0014,1/16/2023,Late
S0014,1/17/2023,Late
S0014,1/18/2023,Late
S0014,1/19/2023,Late
S0014,1/20/2023,Late
S0014,1/21/2023,Absent
S0014,1/22/2023,Late
S0014,1/23/2023,Absent
S0014,1/24/2023,Absent
S0014,1/25/2023,Absent
S0014,1/26/2023,Present
S0014,1/27/2023,Late
S0014,1/28/2023,Late
S0014,1/29/2023,Late
S0014,1/30/2023,Present
S0014,1/31/2023,Absent
S0014,2/1/2023,Late
S0014,2/2/2023,Present
S0014,2/3/2023,Present
S0014,2/4/2023,Late
S0014,2/5/2023,Absent
S0014,2/6/2023,Present
S0014,2/7/2023,Absent
S0014,2/8/2023,Absent
S0014,2/9/2023,Late
S0014,2/10/2023,Late
S0014,2/11/2023,Late
S0014,2/12/2023,Absent
S0014,2/13/2023,Absent
S0014,2/14/2023,Present
S0014,2/15/2023,Present
S0014,2/16/2023,Present
S0014,2/17/2023,Late
S0014,2/18/2023,Absent
S0014,2/19/2023,Absent
S0015,1/1/2023,Absent
S0015,1/2/2023,Present
S0015,1/3/2023,Late
S0015,1/4/2023,Late
S0015,1/5/2023,Absent
S0015,1/6/2023,Absent
S0015,1/7/2023,Absent
S0015,1/8/2023,Absent
S0015,1/9/2023,Present
S0015,1/10/2023,Present
S0015,1/11/2023,Absent
S0015,1/12/2023,Present
S0015,1/13/2023,Absent
S0015,1/14/2023,Absent
S0015,1/15/2023,Absent
S0015,1/16/2023,Present
S0015,1/17/2023,Absent
S0015,1/18/2023,Absent
S0015,1/19/2023,Late
S0015,1/20/2023,Late
S0015,1/21/2023,Present
S0015,1/22/2023,Late
S0015,1/23/2023,Present
S0015,1/24/2023,Absent
S0015,1/25/2023,Late
S0015,1/26/2023,Present
S0015,1/27/2023,Absent
S0015,1/28/2023,Late
S0015,1/29/2023,Late
S0015,1/30/2023,Present
S0015,1/31/2023,Absent
S0015,2/1/2023,Late
S0015,2/2/2023,Absent
S0015,2/3/2023,Absent
S0015,2/4/2023,Late
S0015,2/5/2023,Absent
S0015,2/6/2023,Present
S0015,2/7/2023,Late
S0015,2/8/2023,Present
S0015,2/9/2023,Late
S0015,2/10/2023,Present
S0015,2/11/2023,Absent
S0015,2/12/2023,Absent
S0015,2/13/2023,Present
S0015,2/14/2023,Absent
S0015,2/15/2023,Present
S0015,2/16/2023,Late
S0015,2/17/2023,Late
S0015,2/18/2023,Absent
S0015,2/19/2023,Absent
S0016,1/1/2023,Late
S0016,1/2/2023,Absent
S0016,1/3/2023,Late
S0016,1/4/2023,Late
S0016,1/5/2023,Present
S0016,1/6/2023,Present
S0016,1/7/2023,Late
S0016,1/8/2023,Late
S0016,1/9/2023,Present
S0016,1/10/2023,Late
S0016,1/11/2023,Late
S0016,1/12/2023,Late
S0016,1/13/2023,Absent
S0016,1/14/2023,Present
S0016,1/15/2023,Late
S0016,1/16/2023,Late
S0016,1/17/2023,Absent
S0016,1/18/2023,Absent
S0016,1/19/2023,Late
S0016,1/20/2023,Present
S0016,1/21/2023,Absent
S0016,1/22/2023,Present
S0016,1/23/2023,Absent
S0016,1/24/2023,Absent
S0016,1/25/2023,Present
S0016,1/26/2023,Late
S0016,1/27/2023,Present
S0016,1/28/2023,Late
S0016,1/29/2023,Late
S0016,1/30/2023,Absent
S0016,1/31/2023,Absent
S0016,2/1/2023,Absent
S0016,2/2/2023,Late
S0016,2/3/2023,Late
S0016,2/4/2023,Present
S0016,2/5/2023,Present
S0016,2/6/2023,Present
S0016,2/7/2023,Present
S0016,2/8/2023,Late
S0016,2/9/2023,Late
S0016,2/10/2023,Present
S0016,2/11/2023,Present
S0016,2/12/2023,Late
S0016,2/13/2023,Present
S0016,2/14/2023,Absent
S0016,2/15/2023,Late
S0016,2/16/2023,Absent
S0016,2/17/2023,Absent
S0016,2/18/2023,Late
S0016,2/19/2023,Late
S0017,1/1/2023,Absent
S0017,1/2/2023,Present
S0017,1/3/2023,Present
S0017,1/4/2023,Late
S0017,1/5/2023,Absent
S0017,1/6/2023,Absent
S0017,1/7/2023,Late
S0017,1/8/2023,Late
S0017,1/9/2023,Absent
S0017,1/10/2023,Absent
S0017,1/11/2023,Late
S0017,1/12/2023,Absent
S0017,1/13/2023,Present
S0017,1/14/2023,Late
S0017,1/15/2023,Present
S0017,1/16/2023,Late
S0017,1/17/2023,Late
S0017,1/18/2023,Absent
S0017,1/19/2023,Present
S0017,1/20/2023,Absent
S0017,1/21/2023,Present
S0017,1/22/2023,Absent
S0017,1/23/2023,Late
S0017,1/24/2023,Present
S0017,1/25/2023,Present
S0017,1/26/2023,Late
S0017,1/27/2023,Late
S0017,1/28/2023,Absent
S0017,1/29/2023,Present
S0017,1/30/2023,Absent
S0017,1/31/2023,Present
S0017,2/1/2023,Present
S0017,2/2/2023,Absent
S0017,2/3/2023,Late
S0017,2/4/2023,Late
S0017,2/5/2023,Absent
S0017,2/6/2023,Late
S0017,2/7/2023,Absent
S0017,2/8/2023,Late
S0017,2/9/2023,Absent
S0017,2/10/2023,Absent
S0017,2/11/2023,Absent
S0017,2/12/2023,Absent
S0017,2/13/2023,Late
S0017,2/14/2023,Present
S0017,2/15/2023,Late
S0017,2/16/2023,Present
S0017,2/17/2023,Absent
S0017,2/18/2023,Present
S0017,2/19/2023,Present
S0018,1/1/2023,Late
S0018,1/2/2023,Absent
S0018,1/3/2023,Absent
S0018,1/4/2023,Absent
S0018,1/5/2023,Present
S0018,1/6/2023,Absent
S0018,1/7/2023,Late
S0018,1/8/2023,Present
S0018,1/9/2023,Present
S0018,1/10/2023,Present
S0018,1/11/2023,Present
S0018,1/12/2023,Late
S0018,1/13/2023,Present
S0018,1/14/2023,Present
S0018,1/15/2023,Late
S0018,1/16/2023,Absent
S0018,1/17/2023,Late
S0018,1/18/2023,Absent
S0018,1/19/2023,Present
S0018,1/20/2023,Present
S0018,1/21/2023,Present
S0018,1/22/2023,Late
S0018,1/23/2023,Absent
S0018,1/24/2023,Absent
S0018,1/25/2023,Late
S0018,1/26/2023,Late
S0018,1/27/2023,Absent
S0018,1/28/2023,Late
S0018,1/29/2023,Present
S0018,1/30/2023,Absent
S0018,1/31/2023,Late
S0018,2/1/2023,Absent
S0018,2/2/2023,Late
S0018,2/3/2023,Absent
S0018,2/4/2023,Absent
S0018,2/5/2023,Absent
S0018,2/6/2023,Present
S0018,2/7/2023,Present
S0018,2/8/2023,Absent
S0018,2/9/2023,Late
S0018,2/10/2023,Present
S0018,2/11/2023,Late
S0018,2/12/2023,Absent
S0018,2/13/2023,Late
S0018,2/14/2023,Present
S0018,2/15/2023,Late
S0018,2/16/2023,Late
S0018,2/17/2023,Absent
S0018,2/18/2023,Absent
S0018,2/19/2023,Late
S0019,1/1/2023,Late
S0019,1/2/2023,Absent
S0019,1/3/2023,Present
S0019,1/4/2023,Present
S0019,1/5/2023,Late
S0019,1/6/2023,Absent
S0019,1/7/2023,Late
S0019,1/8/2023,Absent
S0019,1/9/2023,Present
S0019,1/10/2023,Late
S0019,1/11/2023,Absent
S0019,1/12/2023,Late
S0019,1/13/2023,Present
S0019,1/14/2023,Present
S0019,1/15/2023,Late
S0019,1/16/2023,Late
S0019,1/17/2023,Late
S0019,1/18/2023,Absent
S0019,1/19/2023,Absent
S0019,1/20/2023,Late
S0019,1/21/2023,Present
S0019,1/22/2023,Late
S0019,1/23/2023,Late
S0019,1/24/2023,Present
S0019,1/25/2023,Present
S0019,1/26/2023,Absent
S0019,1/27/2023,Late
S0019,1/28/2023,Late
S0019,1/29/2023,Late
S0019,1/30/2023,Late
S0019,1/31/2023,Present
S0019,2/1/2023,Late
S0019,2/2/2023,Late
S0019,2/3/2023,Late
S0019,2/4/2023,Late
S0019,2/5/2023,Absent
S0019,2/6/2023,Late
S0019,2/7/2023,Present
S0019,2/8/2023,Absent
S0019,2/9/2023,Late
S0019,2/10/2023,Present
S0019,2/11/2023,Absent
S0019,2/12/2023,Absent
S0019,2/13/2023,Late
S0019,2/14/2023,Absent
S0019,2/15/2023,Late
S0019,2/16/2023,Late
S0019,2/17/2023,Absent
S0019,2/18/2023,Absent
S0019,2/19/2023,Absent
S0020,1/1/2023,Absent
S0020,1/2/2023,Absent
S0020,1/3/2023,Present
S0020,1/4/2023,Present
S0020,1/5/2023,Late
S0020,1/6/2023,Late
S0020,1/7/2023,Late
S0020,1/8/2023,Absent
S0020,1/9/2023,Late
S0020,1/10/2023,Late
S0020,1/11/2023,Absent
S0020,1/12/2023,Present
S0020,1/13/2023,Late
S0020,1/14/2023,Absent
S0020,1/15/2023,Late
S0020,1/16/2023,Present
S0020,1/17/2023,Late
S0020,1/18/2023,Present
S0020,1/19/2023,Late
S0020,1/20/2023,Absent
S0020,1/21/2023,Late
S0020,1/22/2023,Late
S0020,1/23/2023,Present
S0020,1/24/2023,Absent
S0020,1/25/2023,Absent
